cid_base,cid,datahead,dataname,area,institute,term,amount,hojoratio,object,keihi,jigyousha,dataurl
21,21,神奈川県横浜市：「横浜保育室認可保育所移行支援事業」≪2次募集≫,神奈川県横浜市：「横浜保育室認可保育所移行支援事業」≪2次募集≫ 子ども・子育て支援新制度の施行により、保育室を運営する事業者又はその関連法人が、横浜保育室を運営する現在の建物では新制度への基準に対応できず、かつ、認可保育所への移行を目指す場合において、移転や改修等に必要な経費の一部を補助し、子ども・子育て支援新制度への円滑な移行を支援することを目的として実施するものです。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2023年4月14日〜2023年4月28日,"6,000万円",・内装改修費等：3/4 ・移転費・仮設園舎設置費：4/4 ・工事中の賃借料：1/2 ※経費により上限額の変動あり,新規事業・開発／地域活性・まちづくり／設備投資・運転資金,改修費／借料,幼児・保育施設／法人,https://www.city.yokohama.lg.jp/business/bunyabetsu/kosodate/seibi/ninkaiko/hoikushituikou02.html
22,22,神奈川県横浜市：「中小企業新技術・新製品開発促進助成金」（令和5...,神奈川県横浜市：「中小企業新技術・新製品開発促進助成金」（令和5... 市内中小企業の成長・発展に向けた新技術・新製品開発、分野を問わず研究、開発に取り組むための、原材料費や機械装置費、直接人件費等の助成を行います。 ※申請するには事前相談が必要です。事前相談期間：2023/04/12～2023/05/31まで。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2023年4月12日〜2023年6月14日,"1,000万円",1/2,研究・技術・産学連携／新規事業・開発,原材料費/資材費／機械装置等費／外注費／委託費／出願費／人件費／クラウド使用料,中小企業／個人事業主／組合・団体等,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/kaihatsu/gijutsu/kaihatsu.html
23,23,神奈川県横浜市：「グリーンリカバリー設備投資助成金」,神奈川県横浜市：「グリーンリカバリー設備投資助成金」 中小企業の脱炭素化を推進するため、専門家派遣による省エネアドバイスを行うとともに、必要な設備の導入経費を助成します。 ※申請には仮エントリー県省エネアドバイス申込が必要になります。受付期間：2023/04/24～2023/07/31まで。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2023年5月10日〜2023年9月29日,200万円,1/2（下限額25万円）,環境・省エネ／設備投資・運転資金／生産性向上,設備購入費／工事費,中小企業／個人事業主,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/greenrecovery.html
24,24,神奈川県横浜市：「令和5年度中小企業デジタル化推進支援補助金」,神奈川県横浜市：「令和5年度中小企業デジタル化推進支援補助金」 中小企業が生産性向上のために行うデジタル化にかかわる費用を補助します。 ※申請前に中小企業デジタル化相談を受けることが必須です。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2023年5月10日〜2023年10月31日,100万円,1/2（下限額30万円）,生産性向上／IT関連／経営改善・経営強化／設備投資・運転資金,機械装置等費／ソフトウェア購入費／クラウド使用料／借料／専門家謝金,中小企業／個人事業主,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/it-iot.html
25,25,神奈川県横浜市：「令和5年度小規模事業者設備投資助成金」,神奈川県横浜市：「令和5年度小規模事業者設備投資助成金」 市内で事業を営む小規模事業者が生産性の向上のために行う新たな設備等への投資に対する助成を行うことにより、小規模事業者の成長を促進し、もって本市経済の活性化に資することを目的とします。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2023年6月1日〜2023年9月29日,10万円,1/2,設備投資・運転資金／生産性向上／IT関連,機械装置等費／ソフトウェア購入費,小規模事業者／個人事業主,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/shokibo_setsubitoshi.html
26,26,神奈川県横浜市：「ものづくり魅力向上助成金」（令和5年度）,神奈川県横浜市：「ものづくり魅力向上助成金」（令和5年度） 市内中小製造業者が行う、ものづくりに対する住民理解促進、人材育成及びものづくりの魅力発信のための取組に対し、その経費の一部を助成することにより、ものづくりの魅力向上、さらには地域間連携や団体の活性化に寄与することを目的とし、また、夜間の安全確保を目的とした照明の設置や不法投棄防止のための植栽活動など、工業地域で働く人が課題と感じている事柄に対して、その経費の一部を助成することにより、工業地域の魅力向上及び働きやすいものづくり職場環境の整備を図ることを目的とします。 ※まずは事前連絡、事前相談を実施してください。事前相談期限：2024/01/17まで。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年4月1日〜2023年1月31日,20万円,1/2,人材育成・雇用／経営改善・経営強化／設備投資・運転資金,広告費／委託費／借料／専門家謝金／専門家旅費／保険料等／設備購入費／外注費,中小企業／連携体,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/seizou/kyousei-mono.html
27,27,神奈川県：「海外展開助成金」（令和5年度）,神奈川県：「海外展開助成金」（令和5年度） 海外で開催される展示商談会やオンライン展示商談会への出展経費だけでなく、市場調査及び多言語対応など助成対象経費を拡充し、横浜市内中小企業の海外市場の販路開拓や拡大を支援します。,神奈川県,公益財団法人 横浜企業経営支援財団,2023年4月1日〜2024年1月31日,20万円,1/2,海外展開／販路開拓,出展料・出店料／通信運搬費／広告費／保険料等,中小企業／小規模事業者,https://www.idec.or.jp/topics/entry_info.html?id=2765
28,28,神奈川県横浜市：「2023年度LIP. 横浜 トライアル助成金（...,神奈川県横浜市：「2023年度LIP. 横浜 トライアル助成金（... 市内の中小企業、大学、研究機関等により実施される研究成果やアイディア等の事業化を目指した研究開発事業を支援するものです。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2023年4月14日〜2023年5月12日,100万円,10/10,研究・技術・産学連携／新規事業・開発,原材料費/資材費／機械装置等費／外注費／委託費,組合・団体等／学校法人／医療法人,https://kihara.or.jp/news/trial/
29,29,神奈川県横浜市：「2023年度LIP. 横浜 トライアル助成金（...,神奈川県横浜市：「2023年度LIP. 横浜 トライアル助成金（... 市内の中小企業、大学、研究機関等により実施される研究成果やアイディア等の事業化を目指した研究開発事業を支援するものです。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2023年4月14日〜2023年5月12日,200万円,10/10,研究・技術・産学連携／新規事業・開発,原材料費/資材費／機械装置等費／外注費／委託費,中小企業／個人事業主／組合・団体等,https://kihara.or.jp/news/trial/
30,30,神奈川県横浜市：「令和3年度国内展示会等出展助成金」[コピー],神奈川県横浜市：「令和3年度国内展示会等出展助成金」[コピー] 市内中小企業が医療機器・ヘルスケア分野への新事業展開の促進及び新たな製品・サービスの販路拡大を図るため展示会及び学会(以下、「展示会等」という)出展に要する経費の一部を助成することで、市内中小企業の新事業展開及び販路拡大に寄与することを目的として実施します,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜企業経営支援財団,2021年5月6日〜2022年3月25日,20万円,1/2,販路拡大,---,中小企業／個人事業主,https://www.idec.or.jp/topics/entry_info.html?id=2688
