cid_base,cid,datahead,dataname,area,institute,term,amount,hojoratio,object,keihi,jigyousha,dataurl
31,31,神奈川県横浜市：「横浜市創業促進助成金」（令和4年度）,神奈川県横浜市：「横浜市創業促進助成金」（令和4年度） 創業の裾野拡大を図るため、市内で初めて創業する方に対して、創業時に必要となる経費の一部を助成します。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年6月1日〜2022年11月28日,20万円,1/2,起業・創業・ベンチャー／経営改善・経営強化／設備投資・運転資金,借料／工事費／広告費,創業前・創業5年未満,https://www.city.yokohama.lg.jp/business/keizai/sougyo/sogyoshien/sougyousokusin.html
32,32,神奈川県横浜市：「小規模事業者等省エネ・デジタル化支援補助金」,神奈川県横浜市：「小規模事業者等省エネ・デジタル化支援補助金」 新型コロナウイルス感染症の長期化に加え、エネルギーや材料費の高騰など厳しい経営環境が続く中、特に影響を受け易い小規模事業者や市内商店会加盟店舗に対し、省エネ化に資する設備、及びデジタル化に取り組むための基礎となる設備の導入を補助することで、事業継続に向けた事業の効率化を図り、もって横浜市内の経済の活性化に寄与することを目的とします。 ※事前エントリーが必須になります。事前エントリー期間：令和４年８月３日(水)～８月16日(火),神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年8月22日〜2022年12月23日,20万円,2/3,生産性向上／IT関連／環境・省エネ／設備投資・運転資金,---,法人／小規模事業者／個人事業主,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/shoenedigital.html
33,33,神奈川県：「海外展開助成金」,神奈川県：「海外展開助成金」 海外で開催される展示商談会やオンライン展示商談会への出展経費だけでなく、市場調査及び多言語対応など助成対象経費を拡充し、横浜市内中小企業の海外市場の販路開拓や拡大を支援します。,神奈川県,公益財団法人 横浜企業経営支援財団,2022年4月27日〜2023年1月31日,20万円,1/2,海外展開／販路開拓,出展料・出店料／通信運搬費／広告費／保険料等,法人／中小企業／小規模事業者,https://www.idec.or.jp/topics/entry_info.html?id=2765
34,34,神奈川県横浜市：「ものづくり魅力発信助成金」,神奈川県横浜市：「ものづくり魅力発信助成金」 市内中小製造業者のものづくりに対する住民の理解促進及び小・中学校の児童・生徒を対象とした将来のものづくり人材の育成を図るために実施する取組に対し、その活動経費の一部を助成します。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年4月1日〜2023年1月31日,10万円,1/2,人材育成・雇用／新規事業・開発／販路拡大,旅費／水道光熱費等／通信運搬費／広告費／委託費／借料／専門家謝金／出展料・出店料,法人／中小企業／個人事業主／連携体,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/seizou/kyousei-mono.html
35,35,神奈川県横浜市：「令和4年度 知的財産活動助成金」,神奈川県横浜市：「令和4年度 知的財産活動助成金」 知的財産の活用に向けた取組を促進するため、取組意欲の高い企業に対して知的財産取得や知的財産に係るコンサルティングの助成を行います。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年5月16日〜2022年12月23日,15万円,1/2 ※横浜知財みらい企業認定の有無で上限額の変動あり,特許・知的財産／経営改善・経営強化,知的財産権等関連経費／出願費／委託費,法人／中小企業／小規模事業者,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/ip/jyosei.html
36,36,神奈川県横浜市：「グリーンリカバリー設備投資補助金」,神奈川県横浜市：「グリーンリカバリー設備投資補助金」 新型コロナウイルス感染拡⼤からの経済回復策として、環境を重視した投資などを通して経済を浮上させることを⽬的に、市内企業の⼤半を占める中⼩企業者が⾏う省エネ効果の⾼い設備の導⼊を⽀援することで脱炭素経営の推進を図ります。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年4月11日〜2022年8月31日,200万円,1/2,環境・省エネ／設備投資・運転資金,機械装置等費,法人／中小企業／個人事業主／医療法人／組合・団体等／NPO法人,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/greenrecovery.html
37,37,神奈川県横浜市：「令和4年度中小企業設備投資等助成金」,神奈川県横浜市：「令和4年度中小企業設備投資等助成金」 横浜市内の本社・事業所等で中小企業者が行う脱炭素化に向けた生産性の向上に資する設備投資に対し、経費の一部を助成します。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年4月20日〜2022年5月26日,800万円,・市内事業者：30％ ※対象経費のうち2000万円を超える分は20％ ・準市内・市外事業者：10％,設備投資・運転資金／環境・省エネ／生産性向上,機械装置等費,法人／中小企業／個人事業主,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/zochiku/setubitoushi.html
38,38,神奈川県横浜市：「令和４年度小規模事業者設備投資助成金」,神奈川県横浜市：「令和４年度小規模事業者設備投資助成金」 市内で事業を営む小規模事業者が生産性の向上のために行う新たな設備等への投資に対する助成を行うことにより、小規模事業者の成長を促進し、もって本市経済の活性化に資することを目的とします。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年4月19日〜2022年10月31日,10万円,1/2,設備投資・運転資金／生産性向上／IT関連,機械装置等費／ソフトウェア購入費,法人／小規模事業者,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/shokibo_setsubitoshi.html
39,39,神奈川県横浜市：「横浜市タクシー事業者支援金」,神奈川県横浜市：「横浜市タクシー事業者支援金」 コロナ禍において人流抑制の影響を受けながらも運行を継続しているタクシー事業者のみなさまに運行経費の一部を助成します。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2022年2月1日〜2022年2月14日,1万円/車両数,個人：1万円 法人：1万円/車両数,経営改善・経営強化,---,法人／個人事業主,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kotsu/toshikotsu/taxisien.html
40,40,神奈川県：「海外展示商談会出展支援事業助成金」,神奈川県：「海外展示商談会出展支援事業助成金」 新型コロナウイルスの影響により、今年度はオンラインの展示商談会の開催が主流となっております。 海外への渡航が難しい今だからこそ、オンライン展示商談会を活用し、海外の販路開拓に取り組んでみませんか？ 展示会の出展経費や外国向けプロモーション動画制作費等の一部経費を助成し、商談機会の増加を通じて、市内企業の海外市場の販路開拓や拡大を支援します。,神奈川県,横浜企業経営支援財団,〜2021年12月28日,15 万円,助成率：1/2以内,海外展開,---,---,https://www.idec.or.jp/topics/entry_info.html?id=2589
41,41,神奈川県：「令和3年度 横浜市創業促進助成金」,神奈川県：「令和3年度 横浜市創業促進助成金」 横浜市内で創業を目指す方に対し、創業時に必要となる経費の一部を、最大20万円まで助成します。 申請後、審査を行い、交付者を選定します。（10件程度を予定）,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,神奈川県横浜市,2021年6月1日〜2021年11月26日,20 万円,助成率：1/2以内,起業・創業・ベンチャー／販路開拓,---,---,https://www.city.yokohama.lg.jp/business/keizai/sougyo/sogyoshien/sougyousokusin.html
42,42,神奈川県横浜市：「令和3年度 横浜市創業促進助成金」,神奈川県横浜市：「令和3年度 横浜市創業促進助成金」 横浜市内で創業を目指す方に対し、創業時に必要となる経費の一部を助成します。,神奈川県,横浜市,2021年6月1日〜2021年11月26日,"200,000円",1/2,---,---,---,https://www.city.yokohama.lg.jp/business/keizai/sougyo/sogyoshien/sougyousokusin.html
43,43,神奈川県横浜市：「横浜市新型コロナウイルス感染症対応飲食事業者支...,神奈川県横浜市：「横浜市新型コロナウイルス感染症対応飲食事業者支... 「まん延防止等重点措置」の適用による営業時間短縮や酒類提供の終日停止等の要請が行われるなど、大変厳しい状況が続いている飲食事業者の皆様の資金繰りを支援するため、横浜市が信用保証料を全額助成する「新型コロナウイルス経済変動対応資金(飲食業特別)」を創設しました。この融資を利用した飲食事業者を対象とする一時金を新たに交付し、事業者の事業継続を支援します。,神奈川県横浜市青葉区、横浜市旭区、横浜市泉区、横浜市磯子区、横浜市神奈川区、横浜市金沢区、横浜市港南区、横浜市港北区、横浜市栄区、横浜市瀬谷区、横浜市都筑区、横浜市鶴見区、横浜市戸塚区、横浜市中区、横浜市西区、横浜市保土ケ谷区、横浜市緑区、横浜市南区,横浜市,2021年6月14日〜2021年12月10日,"30,000円",500万円（融資上限額）を半年間借り入れした場合の利息相当額,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/insyoku-ichijikin.html
44,44,香川県横浜市：「横浜市新型コロナウイルス感染症対応飲食事業者支援...,香川県横浜市：「横浜市新型コロナウイルス感染症対応飲食事業者支援... 「まん延防止等重点措置」の適用による営業時間短縮や酒類提供の終日停止等の要請が行われるなど、大変厳しい状況が続いている飲食事業者の皆様の資金繰りを支援するため、横浜市が信用保証料を全額助成する「新型コロナウイルス経済変動対応資金(飲食業特別)」を創設しました。,神奈川県,横浜市,2021年6月14日〜2021年12月10日,"30,000円",※500 万円（融資上限額）を半年間借り入れした場合の利息相当額,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/insyoku-ichijikin.html
45,45,神奈川県横浜市：〆切間近！「事業継続・展開支援補助金（設備投資支...,神奈川県横浜市：〆切間近！「事業継続・展開支援補助金（設備投資支... 事業継続するための業種転換、新規事業や新しいビジネススタイルへの転換など新しい事業展開に要する設備投資に係る経費を補助します。,神奈川県,横浜市,2021年7月20日〜2021年8月31日,"300,000円",対象設備費用の2/3,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/tenkai/setsubi.html
46,46,神奈川県横浜市:：「事業継続・展開支援補助金（設備投資支援型）」...,神奈川県横浜市:：「事業継続・展開支援補助金（設備投資支援型）」... 事業継続するための業種転換、新規事業や新しいビジネススタイルへの転換など新しい事業展開に要する設備投資に係る経費を補助します。,神奈川県,横浜市,〜2021年9月30日,"300,000円",対象設備費用の2/3,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/tenkai/setsubi.html
47,47,神奈川県横浜市：「令和4年4月開所　家庭的保育事業」,神奈川県横浜市：「令和4年4月開所　家庭的保育事業」 『家庭的保育事業』とは保育士資格や看護師及び幼稚園教諭の免許をお持ちの方で、横浜市が認可した家庭的保育者が、家庭的保育者の居宅等で0～2歳の児童を3～5人の少人数で保育する事業です。,神奈川県,横浜市,〜2021年7月30日,200万円,---,---,---,---,https://www.city.yokohama.lg.jp/business/bunyabetsu/kosodate/seibi/chikigata/kateitekihoikujigyo.html
48,48,神奈川県横浜市：「令和4年4月開所  小規模保育事業＜2次募集＞...,神奈川県横浜市：「令和4年4月開所  小規模保育事業＜2次募集＞... 「小規模保育事業」とは、2歳までの児童を対象とし、定員6人から19人の少人数で保育を行う事業です。事業の類型別に保育士の配置等の認可基準がそれぞれ定められています。今回の募集では、A型又はB型の小規模保育事業所を新たに開設していただく事業者を募集します。,神奈川県,横浜市,2021年7月1日〜2021年7月20日,"2,500万円",市長が認めた対象経費の4分の3,---,---,---,https://www.city.yokohama.lg.jp/business/bunyabetsu/kosodate/seibi/chikigata/syokibobosyu2.html
49,49,神奈川県横浜市：「事業継続・展開支援補助金（設備投資支援型）」,神奈川県横浜市：「事業継続・展開支援補助金（設備投資支援型）」 事業継続するための業種転換、新規事業や新しいビジネススタイルへの転換など新しい事業展開に要する設備投資に係る経費を補助します。,神奈川県,横浜市,2021年7月12日〜2021年7月20日,"300,000円",対象設備費用の2/3,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/tenkai/setsubi.html
50,50,神奈川県横浜市：「仲卸業者等経営改善支援事業補助金」,神奈川県横浜市：「仲卸業者等経営改善支援事業補助金」 横浜市中央卸売市場の仲卸業者等が、新型コロナウイルス等による消費行動の変化や、市場法改正による食品流通の変化、国が推進する農水産物の輸出促進等、経営環境の変化に意欲的に対応し、販路拡大、品質管理の向上や事業効率化に向けて整備投資等を行う場合、その初期費用の一部を補助します。,神奈川県,横浜市,2021年6月10日〜2021年6月30日,100万円,3分の2,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/chuoshijo/nakaoroshi_hojokin.html
51,51,神奈川県横浜市：「事業継続・展開支援補助金（販路開拓支援型）」,神奈川県横浜市：「事業継続・展開支援補助金（販路開拓支援型）」 事業継続・展開支援補助金（販路開拓支援型）は、新型コロナウイルス感染症の影響の長期化が予想される中で、市内中小企業の事業継続に向けた販路開拓等に係る経費に対して補助金を交付することにより、中小企業振興及び市内経済の活性化に繋げることを目的としています。,神奈川県,横浜市,2021年5月24日〜2022年1月31日,"200,000円",2/3,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/tenkai/hanro.html
52,52,神奈川県：「医工連携推進事業『国内展示会等出展助成金』」,神奈川県：「医工連携推進事業『国内展示会等出展助成金』」 市内中小企業が医療機器・ヘルスケア分野への新事業展開の促進及び新たな製品・サービスの販路拡大を図るため展示会及び学会出展に要する経費の一部を助成します。,神奈川県,横浜企業経営支援財団,2021年5月6日〜2022年3月11日,"200,000円",助成対象経費の2分の1以内,---,---,---,https://www.idec.or.jp/topics/entry_info.html?id=2688
53,53,神奈川県：「海外展示商談会出展支援事業助成金」,神奈川県：「海外展示商談会出展支援事業助成金」 展示会の出展経費や外国向けプロモーション動画制作費等の一部経費を助成し、商談機会の増加を通じて、市内企業の海外市場の販路開拓や拡大を支援します。,神奈川県,横浜企業経営支援財団,〜2021年12月28日,"150,000円",対象経費合計額の1/2以内,---,---,---,https://www.idec.or.jp/topics/entry_info.html?id=2589
54,54,神奈川県：「海外拠点の設立をサポートします！～調査費用を2/3助...,神奈川県：「海外拠点の設立をサポートします！～調査費用を2/3助... 海外拠点設立等の事業化可能性（F/S）調査の支援を行うため、３年以内に海外拠点設立の計画を持つ市内中小企業を募集します。国際ビジネスに精通した専門家（横浜ビジネスエキスパート）が、国内での予備調査と海外現地調査をサポートします。,神奈川県,横浜企業経営支援財団,〜2021年6月18日,"500,000円",F/S調査にかかる事業経費について、2/3を助成,---,---,---,https://www.idec.or.jp/topics/entry_info.html?id=2508
55,55,神奈川県横浜市：「中小企業新技術・新製品開発促進助成金」,神奈川県横浜市：「中小企業新技術・新製品開発促進助成金」 市内中小企業の成長・発展に向けたイノベーションの促進支援として「中小企業新技術・新製品開発促進事業」により、事前調査、研究、開発までの段階に応じて、原材料費や機械装置費、直接人件費等の助成を行います。,神奈川県,横浜市,2021年4月19日〜2021年6月17日,"1,000万円",2/3以内,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/kaihatsu/sokushin/kaihatsu.html
56,56,神奈川県横浜市：「令和2年度 職場環境向上支援助成金～新型コロナ...,神奈川県横浜市：「令和2年度 職場環境向上支援助成金～新型コロナ... 職場環境向上支援助成金は、市内中小企業における従業員の確保・定着を推進することを目的としています。市内中小企業が、従業員への新型コロナウイルス感染症対策として、柔軟な働き方を推進する目的で「新たにテレワークを導入」する対象経費の一部を助成します。,神奈川県,横浜市,2020年4月15日〜2021年3月31日,"300,000円",3/4,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/kakuho/syokubakankyo.html
57,57,神奈川県横浜市：「横浜市新型コロナウイルス感染症対応資金(実質無...,神奈川県横浜市：「横浜市新型コロナウイルス感染症対応資金(実質無... セーフティネット保証(SN)4号・5号、危機関連保証のいずれかの認定を取得された個人事業主、小・中規模事業者を対象とする。,神奈川県,横浜市,〜2021年3月31日,"6,000万円",○利率（年利）	 1年以内　0.7％以内 1年超3年以内　1.1％以内 3年超5年以内　1.3％以内 5年超10年以内　1.5％以内,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/yushiseido/jyouken/murishi-corona.html
58,58,神奈川県：「海外展示商談会出展支援事業助成金」【2次募集】,神奈川県：「海外展示商談会出展支援事業助成金」【2次募集】 海外への渡航が難しい今だからこそ、オンライン展示商談会を活用し、海外の販路開拓に取り組んでみませんか？展示会の出展経費や外国向けプロモーション動画制作費等の一部経費を助成し、商談機会の増加を通じて、市内企業の海外市場の販路開拓や拡大を支援します。,神奈川県,横浜企業経営支援財団,2021年1月4日〜2021年2月12日,"200,000円",対象経費合計額の1/2以内,---,---,---,https://www.idec.or.jp/kaigai/whats_new/20210104090000.php
59,59,神奈川県：「海外展示商談会出展支援事業助成金」＜2次募集＞,神奈川県：「海外展示商談会出展支援事業助成金」＜2次募集＞ 新型コロナウイルスの影響により、今年度はオンラインの展示商談会の開催が主流となっております。,神奈川県,横浜企業経営支援財団,2021年1月4日〜2021年2月12日,"200,000円",対象経費合計額の1/2以内,---,---,---,https://www.idec.or.jp/kaigai/whats_new/20210104090000.php
60,60,神奈川県：「海外展示商談会出展支援事業助成金」,神奈川県：「海外展示商談会出展支援事業助成金」 海外で開催される展示商談会やオンライン展示商談会への出展経費の一部を助成し、商談機会の増加を通じ、市内企業が海外市場の販路開拓や拡大を支援します。,神奈川県,横浜企業経営支援財団,〜2020年12月25日,"200,000円",対象経費合計額の1/2以内,---,---,---,https://www.idec.or.jp/kaigai/whats_new/20200423073719.php
61,61,神奈川県横浜市：「ものづくり魅力発信助成金」,神奈川県横浜市：「ものづくり魅力発信助成金」 市内中小製造業者のものづくりに対する住民の理解促進並びに、児童・生徒を対象とした将来のものづくり人材の育成及び企業間の連携による新たな商品開発、販路拡大等を図るために実施する取組に対し、その活動経費の一部を助成します。,神奈川県,横浜市,〜2021年1月29日,"100,000円",対象経費の2分の1の額,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/seizou/kyousei-mono.html
62,62,神奈川県横浜市：「横浜市　SDGs biz サポート補助金」,神奈川県横浜市：「横浜市　SDGs biz サポート補助金」 地域課題の解決につながる皆さんのチャレンジを応援するために、新しい暮らし方に対応し、未来に向かって進んでいくための新たな取組に必要な事業費を補助する「SDGｓ bizサポート補助金」を実施します。,神奈川県,横浜市,2020年7月15日〜2020年8月31日,200万円,補助対象経費の2分の1以内,---,---,---,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/ondanka/futurecity/sdgs_biz_support.html
63,63,神奈川県：「国内展示会等出展支援助成金」,神奈川県：「国内展示会等出展支援助成金」 市内中小企業が医療機器・ヘルスケア分野への新事業展開の促進及び新たな製品・サービスの販路拡大を図るため展示会及び学会(以下、「展示会等」という)出展に要する経費の一部を助成することで、市内中小企業の新事業展開及び販路拡大に寄与することを目的として実施します。,神奈川県,横浜企業経営支援財団,2020年8月3日〜2021年2月26日,"200,000円",助成対象経費の2分の1以内,---,---,---,https://www.idec.or.jp/gijutsu/whats_new/ikouzyosei.youkou.pdf
64,64,神奈川県横浜市：「中小企業の『新しい生活様式』対応支援事業補助金...,神奈川県横浜市：「中小企業の『新しい生活様式』対応支援事業補助金... 新型コロナウイルス感染症の影響の長期化が想定される中、「新しい生活様式」に対応しながら事業活動・経済活動を行うことが求められています。各業界ガイドラインへの対応や３密を回避するための工事などの設備投資に対する補助を行い、市内中小企業者が行う「新しい生活様式」に対応する取組を後押しします。,神奈川県,横浜市,2020年8月3日〜2020年8月31日,"300,000円",設備・工事等の費用の90％,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/atarashiiseikatsu.html
65,65,神奈川県横浜市：商店街等の活動に対する一時金の交付（新型コロナウ...,神奈川県横浜市：商店街等の活動に対する一時金の交付（新型コロナウ... 商店街は身近な買い物の場であるだけでなく、イベント等を通じた賑わいづくりや街路灯の維持管理、防犯パトロールなど地域の賑わいづくりや安全・安心に寄与しています。地域経済の活力を生みだすとともに、地域コミュニティの核としての重要な役割を果たしている商店街の事業継続を支援することを目的に、商店街のニーズに応じて、使い道が選択できる一時金を交付します。,神奈川県,横浜市,〜2020年7月31日,"100,000円","加盟店舗数 × 100,000円",---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/syogyo/covid-19/ichijikin.html
66,66,神奈川県横浜市：「令和2年度 職場環境向上支援助成金＜新型コロナ...,神奈川県横浜市：「令和2年度 職場環境向上支援助成金＜新型コロナ... 市内中小企業の多様な人材の確保・定着に向けた従業員への柔軟な働き方への環境整備やテレワーク導入、または多様な人材の確保に向けた職場環境PR支援などに取組む費用の一部を助成します。また、新型コロナウイルス感染症への対策として、柔軟な働き方を推進する目的で新たに「テレワークを導入」する場合、助成率や導入期間の特例(新型コロナウイルス感染症対策のためのテレワーク導入特例)を設けています。,神奈川県,横浜市,2020年4月15日〜2021年1月31日,30万円,1/2,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/kakuho/syokubakankyo.html
67,67,神奈川県横浜市：「新型コロナウイルス感染症緊急特別資金（売上15...,神奈川県横浜市：「新型コロナウイルス感染症緊急特別資金（売上15... 新型コロナウイルス感染症の影響に関して、中小企業信用保険法第2条第6項の規定に基づく認定(危機関連保証の認定)を受けた方を対象に融資を行ないます。,神奈川県,横浜市,---,"2憶8,000万円",融資期間	運転資金：10年以内、備資金：10年以内 （据置24か月以内を含む）,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/yushiseido/jyouken/corona-plus.html
68,68,神奈川県横浜市：芸術創造特別支援事業リーディング・プログラム「Y...,"神奈川県横浜市：芸術創造特別支援事業リーディング・プログラム「Y... 横浜市と公益財団法人横浜市芸術文化振興財団は、各地域で市民の芸術文化体験を広め、深めていくために、芸術創造特別支援事業リーディング・プログラム「YokohamArtLife(ヨコハマートライフ)」を実施します。この取組みは、距離や時間、気持ちを理由に少し遠くに感じる“芸術文化""を「もっと身近に、もっと気軽に」に変えていくために、日常的にアートに参加する機会を増やすプログラムです。本活動の趣旨にあわせて、一緒にプロジェクトを実施してくださる団体(法人・実行委員会)を募集します。対象となる取組みは横浜ならではの芸術文化体験を生み出すプロジェクト。特に、先進的なもの、もしくは将来的な地域への活動定着を狙った実験的なものを支援します。地域の方々に芸術文化体験を提供する内容であることは必須ですが、プロジェクトの内容、形態は自由です。開催支援額(助成申請額)は継続申請の場合は下限なし～上限 1,000 万円、新規申請の場合は下限 500 万円～上限 1,000 万円です。",神奈川県,横浜市芸術文化振興財団,〜2020年6月1日,"1,000万円",1%から100％の間,---,---,---,https://yokohamartlife.yafjp.org/
69,69,横浜：「海外進出支援事業事業化可能性調査助成金」,横浜：「海外進出支援事業事業化可能性調査助成金」 海外拠点設立等の事業化可能性(F/S)調査の支援を行うため、3年以内に海外拠点設立の計画を持つ市内中小企業を募集します。海外進出計画策定支援やF/S調査経費の助成を行ないます。,神奈川県,横浜企業経営支援財団,〜2020年6月19日,50万円,2/3,---,---,---,https://www.idec.or.jp/kaigai/whats_new/20200420085338.php
70,70,横浜：「海外展示商談会出展支援」,横浜：「海外展示商談会出展支援」 海外で開催される展示商談会やオンライン展示商談会への出展経費の一部を助成し、商談機会の増加を通じ、市内企業が海外市場の販路開拓や拡大を支援します。令和2年度は、新型コロナウイルス感染症特別対応として、オンライン展示商談会の出展についても助成対象となります。,神奈川県,横浜企業経営支援財団,〜2020年12月25日,20万円,助成率は対象経費合計額の1/2以内,---,---,---,https://www.idec.or.jp/kaigai/whats_new/20200423073719.php
71,71,横浜：海外拠点の設立をサポートします! ～調査費用を2/3助成～,横浜：海外拠点の設立をサポートします! ～調査費用を2/3助成～ 海外拠点設立等の事業化可能性(F/S)調査の支援を行うため、3年以内に海外拠点設立の計画を持つ市内中小企業を募集します。国際ビジネスに精通した専門家（横浜ビジネスエキスパート）が、国内での予備調査と海外現地調査をサポートします。貴社が検討する海外事業の実 現可能性や採算性について、客観的な経営判断をするための調査を行い、海外進出を円滑に進められるようにお手伝いします。,神奈川県,横浜企業経営支援財団,〜2020年6月19日,50万円,F/S調査にかかる事業経費について、2/3を助成,---,---,---,https://www.idec.or.jp/kaigai/whats_new/20200420085338.php
72,72,横浜市中小企業設備投資等助成金（IT・IoT導入型）,横浜市中小企業設備投資等助成金（IT・IoT導入型） 中小企業・個人事業主が生産性向上のために導入する、IT・IoTの導入費用の２／３（最大20万円）を助成します。 （新型コロナウイルス感染症の影響により、10％以上の売上減少が生じている場合は、３／４（最大20万円）） 少額・簡単なIT・IoT導入のスタートアップ支援です。,神奈川県,横浜市,2020年4月13日〜2021年1月29日,20万円,対象経費の２／３（限度額 20万円） 新型コロナウイルス感染症の影響により、10％以上の売上減少が生じている場合は、３／４（最大20万円）,---,---,---,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/capex/it-iot.html
73,73,横浜市：クリエイターのための事務所等開設支援助成,横浜市：クリエイターのための事務所等開設支援助成 革新的な取組を行うクリエイティブ企業が関内・関外地区に物件を賃借して、事務所を開設する際に助成金を交付します。,神奈川県,横浜市芸術文化振興財団,2020年4月1日〜2021年1月15日,200万円,総予算の1/2以内,---,---,---,http://acy.yafjp.org/grants/raise/inclusion2020.html
74,74,横浜市：ヨコハマ創造産業振興助成,横浜市：ヨコハマ創造産業振興助成 横浜市内のクリエイターと企業や大学等が連携し、横浜の新たな魅力に繋がる商品やサービスを開発する取組、見本市の出展といった販路拡大に向けたプロモーション活動などを支援します。,神奈川県,横浜市芸術文化振興財団,〜2020年4月20日,200万円,総予算の1/2以内,---,---,---,http://acy.yafjp.org/grants/raise/inclusion2020.html
