No.,募集テーマ,概要,所管部署
149,持続可能な地域交通の確保に向けた新たな事業モデルに関する提案（PDF：377KB）,"生産年齢人口減少等によるバス便の減少や高齢化による体力低下、免許返納に伴い、起伏の多い郊外住宅地では日常生活圏の徒歩移動が難しくなるなど、地域交通を取り巻く状況は厳しさを増しています。
しかし、地域交通は、市民生活や経済活動を支える土台であり、郊外部のまちづくりや持続的な成長に向けて、重要な役割を担うものであるため、誰もが移動しやすい地域交通の確保を目指しています。
持続可能な形での地域における移動サービスの実現に向けて、地域の交通事業者や企業との共存共栄を前提とした、新たな事業モデルの検討を進めています。具体的は、移動サービスと生活サービスが連携した新たな事業モデルにより、持続可能性を高めていくことを考えていますが、これらに関する提案を募集します。",横浜市都市整備局都市交通課
145,ＳＤＧｓ公園愛護会活動の認知度向上及び活動の活性化等に関する提案の募集（PDF：481KB）,横浜市では、地域の住民の方を中心に結成されたボランティア団体である公園愛護会と行政が協力して公園の維持管理を行っており、環境創造局で公園愛護会活動を支援しています。公園愛護会の活動の担い手不足の解消を図るため、活動の認知向上につながる提案を募集します。また、公園愛護会の活動の活性化につながるアイデアも募集します。,横浜市環境創造局公園緑地維持課活動推進
144,大規模災害発生時の円滑な復旧に向けた災害廃棄物処理計画の高度化（PDF：696KB）,大規模災害により大量の災害廃棄物が発生した場合に適正かつ円滑・迅 速な処理を行うため、災害廃棄物処理計画をより実効性や精度の高い計画 としていく必要があります。災害廃棄物処理計画の高度化に向けて、廃棄物仮置場の仕様や運営方法に関する提案を募集します,横浜市資源循環局産業廃棄物対策課施設指導係
124,横浜市立図書館のPRと横浜市立図書館を活用した市民の読書活動の推進（PDF：321KB）,今まで図書館を使ったことがない人が、「図書館に行ってみたい」、「図書館を使ってみたい」と思うような、新たな発想や今までにない視点での、横浜市立図書館の魅力のPR方法や、横浜市立図書館を活用した市民の読書活動推進につながる企画についての提案を募集し、実施します。,横浜市教育委員会事務局中央図書館企画運営課
122,旭区若葉台団地でチャレンジ！買取再販事業を活用した子育て世帯の流入促進 協力事業者の募集（PDF：372KB）,子どもたちの声で「にぎわうまち」を目指す、若葉台団地における中古分譲住宅に、まちの良さを最?限引き出すような新たな付加価値を伴うリノベーションの提案を募集します。,横浜市旭区役所区政推進課大規模団地再生係
119,横浜市内郊外戸建て住宅地のＰＲ ～栄区をモデルとして～（PDF：162KB）,"【概要】
住替えや戸建て住宅の新築等を検討されている方が横浜市内の郊外戸建て住宅地を選択することを促すためのＰＲに関する企画を募集します。
【想定する提案】
栄区（場合によっては周辺区も含む）の戸建て住宅地の価値を整理して見える化し、郊外戸建て住宅地への転居を検討する可能性のある人をターゲットにＰＲできる事業（取組）等のご提案",横浜市栄区区政推進課企画調整係
117,雨水調整池の土地貸付に関する意見募集について（PDF：143KB）,"雨水調整池の土地貸付に関する取組を推進するにあたり、地域活性化を図るための活用方法や事業方法等について、幅広い意見を募集します。
【添付資料】
・【資料1】意見募集対象の雨水調整池一覧表（PDF：100KB）

・【資料2】意見募集対象の雨水調整池位置図 （PDF：741KB）",横浜市道路局河川企画課
113,サポカー等の普及・啓発について（PDF：312KB）,国でサポカー補助金制度が開始されていることをふまえ、市民の方に 交通事故に一定の効果があるサポカーやペダル踏み間違い時急発進抑制装置に関する周知・啓発を行います。サポカー等の機能に関する、周知・啓発についてご協力をいただける事業者様を募集します。,横浜市道路局交通安全・自転車政策課
97,放課後キッズクラブ・放課後児童クラブでの魅力あるイベント・プログラムの提案・実施について（PDF：344KB）,"横浜市には、小学生の放課後の居場所として「放課後キッズクラブ」と「放課後児童クラブ」があります。
　民間ノウハウを活かしながら、子どもの社会性や自主性、創造性を育むことができるイベント・プログラムを募集します。",横浜市こども青少年局放課後児童育成課
78,自転車保険の加入促進に関する連携事業者の募集（PDF：294KB）,神奈川県自転車の安全で適正な利用の促進に関する条例の施行に伴い、令和元年10月１日から自転車損害賠償保険等の加入が義務となります。保険の加入方法や問い合わせ先の案内について、本市HPに掲載していますが、内容の充実を図るため、公民連携の提案・アイデア及び連携事業者の両方を募集します。,横浜市道路局総務部交通安全・自転車政策課
72,障害者の外出・移動を支援する「ガイドヘルパー」を知ってもらおう（普及啓発）（PDF：356KB）,"「ガイドヘルパー」とは、単独で外出が困難な障害者に、目的地まで一緒に出かけ、道案内・お金の計算・介助等の必要な支援を行う人です。
　社会生活上必要不可欠な外出のほか、余暇などの外出、また特別支援学校などへの通学通所などがあります。
　今回、このガイドヘルパーの認知向上・普及啓発につながる企画について提案を募集します。",横浜市健康福祉局障害福祉課移動支援係
70,戸塚区 働き・子育て世代の健康づくりの促進について（PDF：356KB）,"「健康寿命の延伸」には、若い時期から健康によい生活習慣を積み重ねることが大切です。戸塚区福祉保健課健康づくり係では区民の健康づくりを応援しています。　
　特に、忙しい毎日を送る働き・子育て世代の多くの区民の皆様が、自分の健康と将来に目を向け、歳を重ねても自分らしく生活する基盤づくりに取り組む意識を持ち、具体的な行動を起こすことを促すような効果的な企画・事業を、公民連携によりつくっていきたいと考えています。",横浜市戸塚区福祉保健課健康づくり係
64,消防機器資材の開発改良（PDF：211KB）,消防活動の効率化・省力化を推進するため、既存の機器の改良や新たな機器の開発について共に実施していただける事業者を募集します。また、「消防機器資材の開発改良」として現場の消防職員が提案した豊富なアイデアについて、当局と共に試作、製品化を目指す事業者も募集します。,横浜市消防局消防訓練センター管理・研究課研究開発係
56,横浜市中央児童相談所の環境改善のための連携について（PDF：307KB）,横浜市児童相談所は、18歳未満のこどもたちに関する相談に応じるとともに、専門的な調査・判定・支援を行っています。また、本市では、複雑な事情を抱えたこどもへの支援のニーズが増大しており、多くのこどもたちが本施設を利用しています。こうした施設の環境改善や、こどもたちへの支援活動について、皆さまからご提案を募集します。,横浜市こども青少年局中央児童相談所庶務係
52,ＨＩＶ・エイズ、性感染症検査等の普及啓発（PDF：758KB）,"ＨＩＶ／エイズの感染経路は限られており、普段の生活ではうつらないことがわかっています。むやみに怖がることはありません。
　この病気を予防し、あるいは共に生きるためには、まずきちんとした知識や理解をもつことが大切です。
また、予防するためには、感染経路を正しく理解して、常に感染を防ぐ方法を実行することが重要です。
　性感染症については、梅毒が若い世代を中心に全国的に増加しています。同じく正しい知識の普及啓発が重要となります。",横浜市健康福祉局健康安全課結核・エイズ担当
32,"「市民と企業によるまちづくり」
協働による地域の課題解決・魅力向上のための施設（ハード）整備・運営についての提案募集（PDF：341KB）","「ヨコハマ市民まち普請事業」では、市民グループからまちづくりに係る施設（ハード）整備の提案を募集し、コンテスト方式で選考された提案に対し市民グループが整備するための助成金（上限500万円）を交付して、市民主体のまちづくりを推進しています。
この事業によるハード整備では、市民グループが施設整備を企画し、自らも労力を提供して施設を整備することで、地域に必要な施設が愛着を持って大切に活用され、企画、提案、整備、活用の機会を通じて地域コミュニティが活性化していくことが特長になっています。
複雑化、多様化する市民ニーズに対応するため、横浜市民の皆様の「市民力」と企業の皆様の「地域貢献意欲」を重なり合わせ、横浜のまちづくりの新たな展開を図りたいと考えています。",横浜市都市整備局地域まちづくり課
22,「横浜消防」のＰＲ・ブランディングと市民の防災・減災意識の啓発（PDF：329KB）,"大地震や火山活動、近年の異常気象など、身の回りで起きる可能性がある災害は数多く存在しており、発災時には思いもよらない大きな被害が出ることもあります。
　こうした状況を踏まえ、横浜市消防局では、
(1) 発生の予測が難しい災害に対応するため、建築物や危険物施設の防火・防災管理や消防職員の技術向上など、様々な面における消防力の強化を図っているとともに、
(2) 災害が発災した時の被害を少しでも減らすため、市民一人ひとりの行動や相互の助け合いなど日頃の防災・減災意識を高めることが非常に重要だと考えていることから、
これらの内容を、民間企業の方々と連携しながら、市民の方々に広く発信・周知していきたいと考えています。",横浜市消防局総務部企画課
19,市民の読書活動の推進のための連携,"読書活動は言葉を学び、感性を磨き、表現力を高め、創造力を豊かなものにし、人生をより深く生きる力を身に付ける上で大切なものです。
横浜市では、「横浜市民の読書活動の推進に関する条例」が平成26年４月に施行されました。３月に策定した「横浜市民読書活動推進計画」に基づき、今後、子どもから大人まで広く市民の読書活動を支えるための環境を整え、読書活動を推進することとしています。
そこで、一人一人の市民の読書活動を推進していくために、民間の皆様との連携により、市域全体で読書活動を推進していくためのアイデアや企画を募集します。",横浜市教育委員会事務局生涯学習文化財課
