cid,corpname,corpurl,address,category,PR,web,gyoshu,jigyou,torikumi
11,株式会社アクアパルス,company_info.html?id=74,横浜市金沢区福浦二丁目１１番地７,その他,私たちは、「環境」の窓から未来を見つめます。公正で客観的かつ信頼性のある高品質な業務の提供を行い、法令遵守や高い倫理観をもって活動することが社会的使命と感じています。,http://www.aqua-pulse.co.jp/,その他,計量証明事業者としての業務を主として、関連する大気、水質、土壌、騒音・振動等各種環境分析及び調査を実施しています。,「環境」は、持続可能な社会へのキーワードです。主たる業務である環境測定・分析の業務を通して永続的に環境問題に取り組むことが社会貢献に繋がると信じています。
12,浅井建設株式会社,company_info.html?id=153,横浜市旭区川井本町80,建設,,,建設,土木工事業・舗装工事業・水道施設工事業,
13,旭建設株式会社,company_info.html?id=129,横浜市港北区新吉田東3-39-19,建設,,http://asahikensetukk.jp/index.html,建設,営業業種 土木、とび・土工、舗装、水道施設、解体　工事業 主要業務 横浜市発注の下水道工事、舗装工事業、土木工事、水道工事他。神奈川県発注の教育施設工事、急傾斜地崩壊防止工事、河川工事他。民間土木建築工事等。 加盟団体等 横浜市建設業協会、日本ＳＰＲ工法協会、災害防止対策連絡協議会（災防協）鶴見川水系、横浜建設業防災作業隊協力会社,
14,アサヒロード株式会社,company_info.html?id=513,横浜市保土ケ谷上菅田町858-26,建設,アサヒロード株式会社は、土木・舗装・造園工事の設計・施工・管理業務を行う会社です。 当社のモットーは、確かな技術力でお客様から信頼いただける工事を行うこと。 「まかせて安心。街の業者とは一味違う。」と言っていただけるよう、安心で確実な工事につとめてまいります 。,http://www.asahi-road.com/company.html,建設,土木工事業 舗装工事業 とび・土木工事業 水道施設工事業,・ISO9001の認証を取得し品質管理に関する取り組みを行っている。 ・ISO14001の認証を取得しており環境マネジメント体制を構築している。 ・子供支援、老人支援、学生支援を継続的に行っている。 ・地域のコミュニティガ-デンの賛助会員として寄付・活動を行っている。
15,株式会社アシスト,company_info.html?id=424,横浜市都筑区荏田南4-27-44,建設,交通安全施設工事をメインに官公庁様、民間企業様、個人のお客様から幅広く受注し、横浜で30年やってまいりました。今後更に変わるであろう建設工事のニーズにも対応できる様日々研究、努力しお客様の求めるサービスを提供してまいります。 また地域の皆様には認知度が低い業界ではありますが、地域住民との交流を図り、ご理解いただき共に成長して行ければと思います。,http://www.aaa-ast.jp,建設,道路区画線 標識 交通安全施設全般,地元区民祭りに継続出店し、売上金を社会福祉協議会の善意銀行に寄付。
16,株式会社アストリア,company_info.html?id=507,横浜市鶴見区東寺尾2-5-23-1F,建設,,,建設,建設業(主に舗装工事業と土木工事業),
17,アドバンスドプランニング株式会社,company_info.html?id=114,横浜市港北区新横浜2-7-17KAKiYAビル2F,サービス,ファームウェアからアプリケーションまで、基本設計よりお手伝いいたします。  制御系システムにて お客様が要求されるさまざまな機能に於いて、「操作性・保守性・利便性」を追及した最適なシステムを提供します。また当社は、一つのプロジェクトの全ての部分、「ファームウェア、デバイスドライバからアプリケーション」まで、さまざまな階層全てを、基本設計よりお手伝い致します。,http://www.apc-inet.co.jp,サービス,・医療系システムの開発 ・ファームウェア・ マイコンシステムの開発 ・リアルタイムOSを駆使したシステム開発 ・列車制御関連の開発 ・現場設備監視システムの開発 ・ネットワークシステムの開発 ・映像・画像システムの開発 ,
18,株式会社アブソルート,company_info.html?id=115,横浜市中区太田町4-55 横浜馬車道ビル 9F(事業所),小売り・卸,アブソルートの社是・ミッションは「心と生活の豊かさを追求し、従業員とお客様が幸福になれる経営を目指す」  私たちのサービスをご利用いただくお客様をはじめとして、私たちを支えてくださる社会、一緒に働いている社員、取引先様、地域の方すべてに対し、その期待に応えるとともに、事業活動を通じて社会に貢献してゆくことを使命としております。  企業の社会的責任を果たし、全てのステークホルダーの皆様から信頼される企業であり続けるために、今後も社会貢献活動を積極的に進めて参ります。,http://www.absolute.co.jp,小売り・卸,医療機器類の研究開発、販売・輸出入業 化粧品・医薬部外品の研究開発、販売・輸出入業 医療に関する調査、研究 講習会・セミナーの企画、立案、実施 経営コンサルタント,・地域企業賞として「環境絵日記」へ協賛 ・顧客向け情報誌の封入作業を横浜市内の福祉施設に発注、地域の福祉的就労の底上げに貢献 ・「よこはまグットバランス賞」受賞、ワークライフバランスに配慮した体制を推進 ・女性の活躍推進の一環として「かながわ女性の応援活躍サポーター」に登録 ・「横浜健康経営認証」最高クラスAAAを取得 ・横浜市就職サポートセンターへの登録、参加 ・ハラスメント対策マニュアルの運用および通報体制等の確立 ・次世代のリーダー育成研修の実施								
19,株式会社阿部興業,company_info.html?id=75,横浜市金沢区福浦2-11-1,サービス,,http://www.abe-kogyo.com,サービス,(1)トラックによる一般貨物自動車運送事業並びに自動車運送取扱事業 (2)物流保管・物流加工事業 (3)産業廃棄物収集運搬業,
20,株式会社アメニティ,company_info.html?id=220,横浜市神奈川区羽沢町685,サービス,おもてなしの空間としてトイレを快適化したいという飲食店、商業施設、病院、鉄道の駅、SA・PA、オフィスなどのお手伝いをしています。,http://www.do-amenity.co.jp,サービス,・トイレ快適化商品の開発、FC加盟店、法人顧客への販売 ・節水商品の開発、FC加盟店、法人顧客への販売 ・厚生労働省認定社内検定「トイレ診断士」資格制度を駆使  したトイレ診断、トイレの快適性維持管理サービスの実施 ・建設業(管工事業),・ネーミングライツ「新横浜駅前 トイレ診断の厠堂」  改装や改修、快適化商品の設置や維持管理など ・本社社屋の一部を改装「トイレ診断士の厠堂本舗」  公共トイレとして地域に開放 ・環境清掃  月1回本社周辺のゴミ拾い
21,アライグリーン株式会社,company_info.html?id=154,横浜市港南区日野南四丁目3-5,造園,1963年の創業以来、造園会社として個人の作庭、公共造園、緑化・土木工事や公園施工管理を手掛けてまいりました。 これからも横浜の地元企業として地域貢献してまいりたいと思います。,http://www.araigreen.com,造園,造園業で、公共工事で培った技術を活かし、造園施工管理を主業務としております。「横浜の地に古くから伝わる『良き歴史と文化』を継承し、地元企業として地域貢献を目指します。」を企業理念に掲げ、事業を行っています。,
22,アラン建設株式会社,company_info.html?id=398,横浜市南区大岡三丁目５番地５,建設,,http://www.arankensetsu.co.jp,建設,建築工事を主体とした総合建設業,
23,アルファ工業株式会社,company_info.html?id=327,横浜市鶴見区末広町1-1-51,製造,,http://www.alpha-kogyo.com,製造,,
24,株式会社アローズ・システムズ,company_info.html?id=155,横浜市西区みなとみらい2-3-1　クイーンズタワーA,情報通信,,https://www.arrows-systems.co.jp/,情報通信,システムソリューション事業 ,
25,株式会社 安藤建設,company_info.html?id=60,横浜市磯子区中原2-1-15,建設,木造建築(大型木造保育園)から共同住宅などのRC造および鉄骨造まで多種多様の建築物を手掛けています。特に<教育・福祉・医療施設、公共施設>は、会社の理念である『地域とともに発展する建設業』として積極的に手がけています。  <施工実績> 教育・医療・福祉施設:保育園・医療センター・小学校外壁改修、公共施設:公会堂・プール塗装工事、集合住宅:マンション新築工事店舗・商業ビル新築工事 ほか多数,https://www.ando-const.co.jp/,建設,昭和17年10月創業以来、中心に福祉施設や医療施設、公共施設、マンション、商業施設等幅広い実績を持っています。  『地域とともに発展する建設業』を企業理念に掲げ、特に<福祉・医療施設、公共施設>は、積極的に手がけています。保育園の受注成績は横浜市ではトップクラスです。 ひとつひとつの仕事に誠実に向き合い、お客様から心より喜んでいただける建物づくりに愛情と情熱を傾けております。 ,地域貢献企業として、地元杉田を中心に取り組んでいます。  主な取り組み ・地元小学校児童たちのプール前広場の壁に絵を描く活動を全面的にサポート ・横浜市内中学生職業体験や職業講話、高校生の職業インタビューを通して「建設業の仕事の魅力を」知ってもらう ・横浜サンタプロジェクト、環境絵日記展等地域イベントの支援  ▼CSRの取り組み https://www.ando-const.co.jp/csr/
26,株式会社アーチドゥーク・オーディオ,company_info.html?id=497,横浜市都筑区勝田町703,その他,,https://arxiduc-audio.com,その他,音響機器レンタル業,
27,アーバントラスト有限会社,company_info.html?id=308,横浜市金沢区幸浦2-4-6,産業廃棄物処理,今を生きる私たち、そしてこれからの未来ある子供たちが 安心して過ごせる環境社会を目指しています。  地球という大地にリサイクルの芽を育てていきます。,http://www.urban-trust.co.jp,産業廃棄物処理,廃棄物の収集運搬および処分業務,地球環境の保護とあ環境への負荷を軽減 リサイクル事業を行い適正処理と住みやすい環境づくり
28,株式会社伊勝,company_info.html?id=156,横浜市鶴見区生麦１丁目５番３号,建設,,http://www.ikatsu.co.jp,建設,建築一式工事（建築・増築）の請負、塗装・防水工事の請負、大規模集合住宅の改修工事の請負、鳶工事及び建物解体の請負、建築土木に関する仮設機材のレンタル及び販売,
29,池田機工株式会社,company_info.html?id=309,横浜市中区本牧町1-58,建設,,http://www.ikedakikou.jp,建設,,
30,株式会社池田商店,company_info.html?id=365,横浜市旭区上川井町2046-13-2階C,産業廃棄物処理,建設現場から排出される廃棄物のうち、主にコンクリートがらを取扱っております。 コンクリートがらを再資源化し、再生砕石の利用を推進することによって、循環型社会の創造に向けて貢献して参ります。,http://www.ikeda-s.biz,産業廃棄物処理,再生砕石の製造及び販売,・エコアクション21による環境負荷低減 ・近隣清掃による地域環境美化 ・旭区安全運転管理者会を通じた地域の交通安全秩序への貢献 ・神奈川県警察友の会、旭区暴力団排除対策推進協議会を通じた安全な地域社会の実現 ・横浜市水のふるさと道志の森基金を通じた水源林の保全
31,生駒植木株式会社,company_info.html?id=130,横浜市戸塚区小雀町1805,造園,弊社は今年、創業100周年を迎えることができました。 支えて下った地域の皆様、お客様、協力会社の皆様のお陰と、従業員一同、感謝の気持でいっぱいです。 これからも、地域に根差した堅実な事業を継続していくことで、これまでの御恩と信頼に応えていきたいと思います。 伝統を守りながらも、時代の変化に乗り遅れることない企業を目指してまいります。,http://www.ikoma-ueki.co.jp,造園,・各種大径木、緑化樹木、緑化植物などの生産及び販売 ・諸官庁発注による造園工事及び委託業務 ・個人邸、マンション、ビル、学校、工場、ゴルフ場など 　の造園工事全般業務 ・緑地全般の維持管理業務 ・発生材の自社リサイクル業務 ・指定管理者制度による業務 ・上記に付帯する一切の業務,・『緑の授業（緑育）』 　⇒地元の小学生に、緑の大切さと地域の産業について 　　伝えています！ ・消防団協力事業所 　⇒地域の減災拠点として頼れる企業を目指します！ ・地域のお祭りへの全面協力 　⇒地域とのコミュニケーションを大切に、地域の活性化 　　に尽力します！
32,生駒造園土木株式会社,company_info.html?id=158,横浜市戸塚区小雀町1956-1,造園,台風等の自然災害によって被害が生じた際には、官民を問わず緊急対応を行っています。 倒れた木の伐採、土砂の流出防止など、速やかに現状回復作業を行っています。,http://www.ikoma-zouen.co.jp,造園,【主な事業内容】 ・公共工事 ・土木工事 ・庭園エクステリア設計施工 ・庭園樹木団地マンション等緑地の管理,工事や作業の施工を行う前には、地域にお住いの皆様へ工事予定などを事前に掲示及びパンフレットの配布でお知らせすることを徹底しています。 また、寄せられたご要望やクレーム等には丁寧に対応し、問題の解決を迅速に行います。
33,石井建設工業株式会社,company_info.html?id=131,横浜市鶴見区鶴見中央4-38-30,建設,,http://ishii-k.jp,建設,,
34,株式会社石井商事,company_info.html?id=30,横浜市南区井土ヶ谷下町37-2,その他,,http://isj-agent.com,その他, ,
35,石井造園株式会社,company_info.html?id=2,横浜市栄区笠間4-11-5,造園,経営理念にある幸せを共有する企業を目指すため、地域志向CSR方針を打ち立て事業を展開している。 1)活き活きとした活力ある職場づくり 2)仕入れや発注先は地元を優先し、地域経済の発展に寄与 3)地球環境の改善に貢献 4)コンプライアンスの遵守 上記方針に基づき地域社会の一員として、地域に活かされている我々であることを確認し、事業を展開していきます。 Y-SDGs初回最上位Supreme認証,http://www.ishii-zouen.co.jp,造園,・造園、土木工事請負業 ・道路、公園、河川、公共施設敷地内除草、芝樹木維持管理工 ・壁面緑化、屋上緑化、民間造園工事設計施工 ・緑地、民間庭園などの維持管理作業 ・ガレージ、アプローチなどエクステリア工事 ・園芸、庭木植物生産販売,社会貢献に対する取り組み 1みどりアップ計画賛同による苗木配布(累計7000本) 2企業等リーダーシップ派遣(横浜市教職員の職業体験受け入れ) 3緑化基金(平成20年度の独自の基金を設立、地域の学校、団体、施設の活動を支援) 環境に対する取り組み 1「第9回横浜・人・まち・デザイン賞 地域まちづくり部門支援賞】受賞】(湘南桂台みどりの会支援緑化活動)
36,株式会社イシカワ,company_info.html?id=159,横浜市鶴見区生麦2-3-18,製造,,https://www.kk-ishikawa.co.jp,製造,EMC電磁波測定 輸出梱包・倉庫,
37,石田建設株式会社,company_info.html?id=277,横浜市泉区岡津町1573,建設,,http://www.ishida-kensetsu.co.jp,建設, ,
38,いそご法務 小竹行政書士事務所,company_info.html?id=3,横浜市磯子区東町15-32モンビル503,その他,横浜型地域貢献企業認定10年表彰を第一期生として拝受しました。事務所全員で取り組んだこの公的認定(最上位)を形骸化することなく、最良の経営マネジメントシステムをいそご法務の経営に今後も徹底に活かしつつ、地域社会の発展に貢献し続ける企業に進化して参ります。  ,http://www.kotake.net,その他,身近な「街の法律家」として2002年創業。  単に手続や相談を待つのではなく、大手企業の総務・法務に法令教育研修講師や許認可の人的要件の助言・契約書草案の監修を務めている また、個人向け業務では自らの著書をテキストとして相続遺言の講師を務めている。 さらにCSR活動では、事務所所在地の小中学校学校運営協議会委員を11年継続し、青少年教育現場で様々な意見を反映。職業インタビューや講和も絶えず受けている。 ,以下を横浜市に献本しつつ、地域の研修等で活動している。 個人向け研修に利用している著書(横浜市図書館蔵) http://amzn.asia/hSXp3UH 顧客の成長過程を題材にした企業研修に利用している著書 (横浜市図書館蔵) http://amzn.asia/52QZp7u
39,有限会社板津農園,company_info.html?id=278,横浜市保土ケ谷区仏向町1048番地 板津本社ビル2F,造園,,http://www.itazu-nouen.com/company,造園,民間の庭管理・マンション等の緑地管理・公共事業等,
40,有限会社一建テック,company_info.html?id=328,横浜市港南区日野7-22-19,建設,,http://www.ichiken-tech.co.jp,建設,建築工事 土木工事 舗装工事 水道施設工事 一般住宅給排水設備工事 造園・外構工事 建築物・構造物解体工事 産業廃棄物収集運搬業 宅地建物取引業,町内会行事等への手伝い 港南区行事への寄付 環境保護活動(海岸清掃など)
41,株式会社イツキ,company_info.html?id=426,横浜市旭区本村町95-11 第2コーポ篠﨑205,造園,,https://itsuki-yokohama.com,造園,緑地維持管理・造園土木工事,特別養護老人ホームに鉢植えを置かせていただき、年数回程度、季節の草花を寄附して植え替えさせていただいております。
42,株式会社伊藤園 新横浜支店,company_info.html?id=222,横浜市神奈川区三枚町281-1,製造,,http://www.itoen.co.jp,製造,飲料品販売,
43,今井建設株式会社,company_info.html?id=223,横浜市鶴見区駒岡1-27-16,建設,公共事業の施工を中心としておりますが、事業所・医療施設・寺院・個人等の改修工事・リフォーム工事へも細やかに対応しております,http://www.imaikensetsu.co.jp,建設,建築工事の請負業務・設計管理業務・土木工事の請負業務,働きやすい職場環境づくりに取り組んでおります
44,岩崎造園株式会社,company_info.html?id=463,横浜市都筑区牛久保東1丁目12番地10号,造園,,,造園,,
45,有限会社岩下書店,company_info.html?id=4,横浜市中区元町4‐168 BIZcomfort元町ビルB1F-47,小売り・卸,,https://kanazawabunko.net/,小売り・卸,書籍販売  貿易業,
46,株式会社インテリジェントシステムズ,company_info.html?id=87,横浜市港北区新横浜1-19-2,サービス,,http://www.igrp.co.jp/is,サービス,,
