cid,datahead,dataurl,creator,contributor
402,   住宅事情３－４：住替えの状況    平成26年以降に入居した持家世帯の前住地の市内割合（平成30年） 平成26年以降に入居した借家世帯の前住地の市内割合（平成30年）    CSV   ,/dataset/kenchiku_jijou3-4,住宅政策課,住宅政策課
403,   2022年1月号       TXT   ,/dataset/hodogaya_2201,区政推進課,区政推進課
404,   2021（令和３）年分       PDF   ZIP   ,/dataset/tsuzuki_r3tzkoho,区政推進課,区政推進課
405,   広報よこはま瀬谷区版2021（令和３）年12月号       TXT   ,/dataset/seya_seya2021_12_,区政推進課,区政推進課
406,   2022年１月号    広報よこはま金沢区版１月号テキスト版    TXT   ,/dataset/kanazawa_202201,区政推進課,区政推進課
407,   令和２年度横浜市民意識調査       xlsx   CSV   ,/dataset/seisaku_ishiki2020,政策課,政策課
408,   平成30年度横浜市民意識調査       xlsx   ZIP   ,/dataset/seisaku_ishiki2018,政策課,政策課
409,   令和元年度横浜市民意識調査       xlsx   ZIP   ,/dataset/seisaku_ishiki2019,政策課,政策課
410,   令和２年度版　発見つるみ！～データでみる鶴見区～（オープンデータ）       xlsx   CSV   ,/dataset/tsurumi_hakkenntsurumi,総務課,総務課
411,   環境に関する企業意識調査       xlsx   ,/dataset/kankyo_kigyouchousa,政策課,政策課
412,   広報よこはま青葉区版　令和3年（2021年）分       ZIP   ,/dataset/aoba_kohoaoba2021,区政推進課,区政推進課
413,   2021年12月号       TXT   ,/dataset/hodogaya_2112,区政推進課,区政推進課
414,   広報よこはま瀬谷区版2021（令和３）年11月号       TXT   ,/dataset/seya_seya2021_11,区政推進課,区政推進課
415,   2021年12月号    広報よこはま金沢区版１２月号テキスト版    TXT   ,/dataset/kanazawa_202112,区政推進課,区政推進課
416,   2021（令和3）年１２月号       TXT   ,/dataset/izumi_kouyoko202112,区政推進課,区政推進課
417,   広報よこはま瀬谷区版2021（令和３）年10月号       TXT   ,/dataset/seya_seya2021_10,区政推進課,区政推進課
418,   2021年11月号    広報よこはま金沢区版11月号テキスト版    TXT   ,/dataset/kanazawa_202111,区政推進課,区政推進課
419,   2021年11月号       TXT   ,/dataset/hodogaya_2111,区政推進課,区政推進課
420,   広報よこはま瀬谷区版2021（令和３）年９月号       TXT   ,/dataset/seya_seya2021_9,区政推進課,区政推進課
421,   2021年10月号    広報よこはま金沢区版10月号テキスト版    TXT   ,/dataset/kanazawa_202110,区政推進課,区政推進課
422,   2021年10月号       TXT   ,/dataset/hodogaya_2110,区政推進課,区政推進課
423,   横浜保育室       CSV   ,/dataset/kodomo_yshitsu-opendata,保育・教育運営課,保育・教育運営課
424,   事業所内保育事業       CSV   ,/dataset/kodomo_jigyousyo-opendata,保育・教育運営課,保育・教育運営課
425,   認定こども園       CSV   ,/dataset/kodomo_ninko-opendata,保育・教育運営課,保育・教育運営課
426,   届出済認可外保育施設       CSV   ,/dataset/kodomo_ninkagai-opendata,保育・教育運営課,保育・教育運営課
427,   小規模保育施設       CSV   ,/dataset/kodomo_syoukibo-opendata,保育・教育運営課,保育・教育運営課
428,   家庭的保育事業       CSV   ,/dataset/kodomo_katei-opendata,保育・教育運営課,保育・教育運営課
429,   認可保育所       CSV   ,/dataset/kodomo_ninka-opendata,保育・教育運営課,保育・教育運営課
430,   新たな中期計画の策定　横浜市中期４か年計画2014～2017　数値データ       CSV   xlsx   ,/dataset/seisaku_date,政策課,政策課
431,   広報よこはま瀬谷区版2021（令和３）年８月号       TXT   ,/dataset/seya_seya2021_8,区政推進課,区政推進課
432,   2021年9月号       TXT   ,/dataset/hodogaya_2109,区政推進課,区政推進課
433,   2021年8月号       TXT   ,/dataset/hodogaya_2108,区政推進課,区政推進課
434,   2021年４月号    広報よこはま金沢区版４月号テキスト版    TXT   ,/dataset/kanazawa_202104,区政推進課,区政推進課
435,   2021年５月号    広報よこはま金沢区版５月号テキスト版    TXT   ,/dataset/kanazawa_202105,区政推進課,区政推進課
436,   2021年６月号    広報よこはま金沢区版６月号テキスト版    TXT   ,/dataset/kanazawa_202106,区政推進課,区政推進課
437,   2021年７月号    広報よこはま金沢区版７月号テキスト版    TXT   ,/dataset/kanazawa_202107,区政推進課,区政推進課
438,   2021年８月号    広報よこはま金沢区版８月号テキスト版    TXT   ,/dataset/kanazawa_202108,区政推進課,区政推進課
439,   広報よこはま瀬谷区版2021（令和３）年７月号       TXT   ,/dataset/seya_seya2021_7,区政推進課,区政推進課
440,   広報よこはま瀬谷区版2021（令和３）年４月号       TXT   ,/dataset/seya_seya2021_4,区政推進課,区政推進課
441,   広報よこはま瀬谷区版2021（令和３）年５月号       TXT   ,/dataset/seya_seya2021_5,区政推進課,区政推進課
442,   広報よこはま瀬谷区版2021（令和３）年６月号       TXT   ,/dataset/seya_seya2021_6,区政推進課,区政推進課
443,   2021年7月号       TXT   ,/dataset/hodogaya_2107,区政推進課,区政推進課
444,   2021年6月号       TXT   ,/dataset/hodogaya_2106,区政推進課,区政推進課
