cid,datahead,dataurl,creator,contributor,corp
191,  都内におけるＰＣＢ廃棄物等の保管・使用・処理状況  【東京都環境局】 ,/dataset/t000009d0000000008,東京都環境局,資源循環推進部産業廃棄物対策課,東京都環境局 資源循環推進部産業廃棄物対策課
192,  路上禁煙地区  【杉並区】 ,/dataset/t131156d0000000038,杉並区,環境部環境課,杉並区 環境部環境課
193,  主要死因別の死亡者数  区政ファイルデータ ,/dataset/t131113d0000000087,大田区,大田区健康政策部 健康医療政策課,大田区 大田区健康政策部 健康医療政策課
194,  各種健康診査等  区政ファイルデータ ,/dataset/t131113d0000000086,大田区,大田区健康政策部 感染症対策課、健康づくり課,大田区 大田区健康政策部 感染症対策課、健康づくり課
195,  特定保健指導  区政ファイルデータ ,/dataset/t131113d0000000085,大田区,大田区健康政策部 健康づくり課,大田区 大田区健康政策部 健康づくり課
196,  健康診査  区政ファイルデータ ,/dataset/t131113d0000000084,大田区,大田区健康政策部 健康づくり課,大田区 大田区健康政策部 健康づくり課
197,  保護樹木指定状況、ハクビシン等被害対策、カラス被害対策  区政ファイルデータ ,/dataset/t131113d0000000083,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
198,  自動車排出ガス測定局の所在地  区政ファイルデータ ,/dataset/t131113d0000000082,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
199,  一般環境大気測定局の所在地  区政ファイルデータ ,/dataset/t131113d0000000081,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
200,  東京国際空港（羽田空港）の航空機の騒音（Ｌden）  区政ファイルデータ ,/dataset/t131113d0000000080,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
201,  河川水質分析結果  区政ファイルデータ ,/dataset/t131113d0000000079,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
202,  公害に関する苦情  区政ファイルデータ ,/dataset/t131113d0000000078,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
203,  振動規制法による届出件数  区政ファイルデータ ,/dataset/t131113d0000000077,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
204,  騒音規制法による届出件数  区政ファイルデータ ,/dataset/t131113d0000000076,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
205,  環境確保条例による工場認可申請件数  区政ファイルデータ ,/dataset/t131113d0000000075,大田区,大田区環境清掃部 環境対策課,大田区 大田区環境清掃部 環境対策課
206,  優良特定地球温暖化対策事業所（トップレベル事業所）  【東京都環境局】都では、温室効果ガス排出総量削減義務と排出量取引制度（キャップ＆トレード制度）において、地球温暖化対策の取組が特に優れた事業所を、地球温暖化対策の推進の程度に応じてトップレベル事業所、準トップレベル事業所に認定しています。認定事業所一覧のデータです。 ,/dataset/t000009d0000000011,東京都環境局,東京都環境局気候変動対策部総量削減課,東京都環境局 東京都環境局気候変動対策部総量削減課
207,  財政（決算）  【東京都下水道局】 ,/dataset/t000020d0000000040,東京都下水道局,経理部会計課,東京都下水道局 経理部会計課
208,  財政（予算）  【東京都下水道局】 ,/dataset/t000020d0000000041,東京都下水道局,総務部理財課,東京都下水道局 総務部理財課
209,  東京都下水道局アドバイザリーボード開催結果  【東京都下水道局】 ,/dataset/t000020d0000000048,東京都下水道局,総務部理財課,東京都下水道局 総務部理財課
210,  下水道局の資金管理  【東京都下水道局】 ,/dataset/t000020d0000000030,東京都下水道局,経理部会計課,東京都下水道局 経理部会計課
211,  東京都下水道事業年報（令和元年度）  【東京都下水道局】 ,/dataset/t000020d0000000086,東京都下水道局,総務部広報サービス課,東京都下水道局 総務部広報サービス課
212,  下水道モニターアンケート結果（令和２年度）  【東京都下水道局】 ,/dataset/t000020d0000000084,東京都下水道局,総務部広報サービス課,東京都下水道局 総務部広報サービス課
213,  省エネ・再エネ東京仕様（令和５年１月改正）  【東京都財務局】　都有建築物の改築等にあたり、導入を検討すべき省エネ・再エネ技術等を例示したもの ,/dataset/t000004d0000000003,東京都財務局,建築保全部技術管理課,東京都財務局 建築保全部技術管理課
214,  関連事業　関連事業における公共貢献  【東京都交通局】関連事業　関連事業における公共貢献　 ,/dataset/t000018d0000000041,東京都交通局,都営交通お客様センター,東京都交通局 都営交通お客様センター
215,  東京都大気汚染常時測定局PM2.5測定結果（狛江市中和泉測定局）  令和３年度「統計こまえ」に掲載された東京都大気汚染常時測定局PM2.5測定結果（狛江市中和泉測定局）です。 （注意事項） 大気汚染常時測定局の測定結果報告による ,/dataset/t132195d0000000182,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
216,  河川水の分析状況（野川）  令和３年度「統計こまえ」に掲載された河川水の分析状況（野川）です。 （資料） ・環境部環境政策課「狛江のかんきょう」 ・多摩川水系水質監視連絡協議会「多摩川及び関連河川水質合同調査結果」 （注意事項） ・測定点：野川 野川谷戸橋（令和２年度は河川工事により小足立橋下流） ・年２回採取の平均値 ・「＜＊.＊＊」は定量下限値未満を表している... ,/dataset/t132195d0000000181,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
217,  公害苦情受付件数  令和３年度「統計こまえ」に掲載された公害苦情受付件数です。 ,/dataset/t132195d0000000180,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
218,  都市公園設置状況  令和３年度「主要な施策の成果説明書・決算資料」に掲載された都市公園設置状況です。 （注意事項） ・数値は東京都建設局公園緑地部の報告による ・土屋塚古墳公園と元和泉さんかく広場については新規設置 ,/dataset/t132195d0000000179,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
219,  都民の健康と安全を確保する環境に関する条例に基づく届出件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された都民の健康と安全を確保する環境に関する条例に基づく届出件数です。 ,/dataset/t132195d0000000178,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
220,  騒音規制法に基づく届出件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された騒音規制法に基づく届出件数です。 （注意事項） 空欄は該当データなし ,/dataset/t132195d0000000177,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
221,  振動規制法に基づく届出件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された振動規制法に基づく届出件数です。 （注意事項） 空欄は該当データなし ,/dataset/t132195d0000000176,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
222,  東京都大気汚染常時測定局PM2.5測定結果（狛江市中和泉測定局）  令和３年度「統計こまえ」に掲載された東京都大気汚染常時測定局PM2.5測定結果（狛江市中和泉測定局）です。 （注意事項） 大気汚染常時測定局の測定結果報告による ,/dataset/t132195d0000000174,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
223,  河川水の分析状況（野川）  令和３年度「統計こまえ」に掲載された河川水の分析状況（野川）です。 （資料） ・環境部環境政策課「狛江のかんきょう」 ・多摩川水系水質監視連絡協議会「多摩川及び関連河川水質合同調査結果」 （注意事項） ・測定点：野川 野川谷戸橋（令和２年度は河川工事により小足立橋下流） ・年２回採取の平均値 ・「＜＊.＊＊」は定量下限値未満を表している... ,/dataset/t132195d0000000172,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
224,  公害苦情受付件数  令和３年度「統計こまえ」に掲載された公害苦情受付件数です。 ,/dataset/t132195d0000000170,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
225,  都市公園設置状況  令和３年度「主要な施策の成果説明書・決算資料」に掲載された都市公園設置状況です。 （注意事項） ・数値は東京都建設局公園緑地部の報告による ・土屋塚古墳公園と元和泉さんかく広場については新規設置 ,/dataset/t132195d0000000168,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
226,  都民の健康と安全を確保する環境に関する条例に基づく届出件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された都民の健康と安全を確保する環境に関する条例に基づく届出件数です。 ,/dataset/t132195d0000000166,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
227,  騒音規制法に基づく届出件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された騒音規制法に基づく届出件数です。 （注意事項） 空欄は該当データなし ,/dataset/t132195d0000000164,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
228,  振動規制法に基づく届出件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された振動規制法に基づく届出件数です。 （注意事項） 空欄は該当データなし ,/dataset/t132195d0000000162,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
229,  狛江市環境保全実施計画に基づく進捗状況報告書（令和３年度版）  令和３年度版「狛江市環境保全実施計画に基づく進捗状況報告書」です。 ,/dataset/t132195d0000000160,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
230,  東京都大気汚染常時測定局オキシダント測定結果（狛江市中和泉測定局）  令和３年度「統計こまえ」に掲載された東京都大気汚染常時測定局オキシダント測定結果（狛江市中和泉測定局）です。 （注意事項） 大気汚染常時測定局の測定結果報告による ,/dataset/t132195d0000000175,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
231,  光化学スモッグの予報発令の状況  令和３年度「統計こまえ」に掲載された光化学スモッグの予報発令の状況です。 （注意事項） 東京都環境局「光化学スモッグの発生状況」による ,/dataset/t132195d0000000173,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
232,  河川水の分析状況（多摩川）  令和３年度「統計こまえ」に掲載された河川水の分析状況（多摩川）です。 （資料） ・環境部環境政策課「狛江のかんきょう」 ・多摩川水系水質監視連絡協議会「多摩川及び関連河川水質合同調査結果」 （注意事項） ・測定点：多摩川 多摩川世田谷区境 ・年２回採取の平均値 ・「＜＊.＊＊」は定量下限値未満を表している... ,/dataset/t132195d0000000171,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
233,  児童遊園設置状況  令和３年度「主要な施策の成果説明書・決算資料」に掲載された児童遊園設置状況です。 （注意事項） 数値は東京都建設局公園緑地部の報告による ,/dataset/t132195d0000000169,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
234,  令和３年度清掃事業の実施状況  令和３年度「主要な施策の成果説明書・決算資料」に掲載された令和３年度清掃事業の実施状況です。 ,/dataset/t132195d0000000167,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
235,  大気汚染防止法に基づく届出件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された大気汚染防止法に基づく届出件数です。 （注意事項） 空欄は該当データなし ,/dataset/t132195d0000000165,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
236,  水質汚濁防止法に基づく届出件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された水質汚濁防止法に基づく届出件数です。 （注意事項） 空欄は該当データなし ,/dataset/t132195d0000000163,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
237,  苦情申立件数  令和３年度「主要な施策の成果説明書・決算資料」に掲載された苦情申立件数です。 （注意事項） 空欄は該当データなし ,/dataset/t132195d0000000161,狛江市,狛江市環境部環境政策課,狛江市 狛江市環境部環境政策課
238,  浸水予想区域図（改定）　浸水深・地盤高  浸水予想区域図（改定）　浸水深・地盤高 ,/dataset/t000020d0000000043,東京都下水道局,計画調整部計画課,東京都下水道局 計画調整部計画課
239,"  ヒヤリハットマップ情報  ヒヤリハット地点、負傷事故地点、死亡事故地点の情報(zip形式で4形式(dbf,pri,shp,shx)1セットでの公開) ",/dataset/t131091d0000000116,品川区,防災まちづくり部土木管理課,品川区 防災まちづくり部土木管理課
240,  資源回収量  渋谷区の資源回収量の情報です。 ,/dataset/t131130d0000000017,渋谷区,環境政策部清掃リサイクル課,渋谷区 環境政策部清掃リサイクル課
241,  ごみ収集量  渋谷区のごみ収集量の情報です。 ,/dataset/t131130d0000000016,渋谷区,環境政策部清掃リサイクル課,渋谷区 環境政策部清掃リサイクル課
242,  ダイオキシン類濃度  渋谷区のダイオキシン類濃度の情報です。 ,/dataset/t131130d0000000015,渋谷区,環境政策部環境整備課,渋谷区 環境政策部環境整備課
