Keyword
横浜で地域活動を支援する街へ
事業提案者の評価手法の開発と運用
社会的インパクトを含む事業設立数と黒字事業の状況
アイデアサンドボックスの構築と運用
市民、企業、行政が一体となり、高度な自治を実現している街
オープンイノベーションとキャリア教育の連携
横浜の行政と企業の共創による地域活性化
共創ワークショップとダイアログ
コンヴィヴィアルなまちの実現
横浜市の取り組みを発信し、新たな出会いと創造を促す
記事数、Webサイトへの訪問者数、記事によって感謝された数
「循環経済とケア」をテーマとするイベントや事業
自然と共生する持続可能な街への夢
多様な住民の声を共有し、実践する仕組み作り
地域の幸福度調査とデータ化
取り組みを点から面に変える
活力ある企業活動と先進的な取組を通じた雇用環境の提供
オープンイノベーションの推進と投資の蓄積
オープンイノベーションの件数と投資額雇用の実績
オープンイノベーションの場の連携と実証実験の必要性
能動的な街の創造と先進性
20代の価値観と理想を発信する
市民の意識と行動に関する調査データ
自然な成長による良き新旧の交代
遊歩者の役割：新旧の良きものを繋ぐ篩
創造的な勉強会やまちあるきの実施と対話の質
異局の連携で市役所を大学院化
未来を見据えた利他のまち
新事業創出の支援と認知拡大
コンソーシアムの事業で地域活性化
団地を活用したふるさと納税獲得の取り組み
自立型経済都市として愛を持つ街
共創案件のブリッジ人材
自立事業としての案件成功数、経済的（雇用率等含む）な結果
ポケモンやガンダムなどの人気事業
神戸市の18区はそれぞれ特色があり、多様な魅力を持つまち
それぞれに特徴を活かしあえる情報発信基地
Well-being指標で図る。市民総幸福量の創設など。
人口減少社会のまちづくりに参加しよう
企業と市民が共に助け合い地域の課題に立ち向かう先駆的な街
自治体ニーズと企業シーズの触媒役
実証実験数、寄付件数、寄付金額
中小企業診断士の実務経験を積むための研修プログラム
エコとテクノの共生と人々のコミュニケーション向上
地域貢献企業認定制度の創設
スキームが構築できた時
